"0x8F",1,0.0000003,"0000000"
"0x92",1,0.0000003,"0000001"
"0xAB",1,0.0000003,"0000010"
"0xAD",1,0.0000003,"0000011"
"0xB6",1,0.0000003,"0000100"
"0xBB",1,0.0000003,"0000101"
"0xE4",1,0.0000003,"0000110"
"*",2,0.0000005,"0000111"
"/",2,0.0000005,"0001000"
"0xA1",4,0.0000010,"0001001"
"0xA4",4,0.0000010,"0001010"
"0xB9",4,0.0000010,"0001011"
"0xBE",4,0.0000010,"0001100"
"`",7,0.0000018,"0001101"
"0x99",8,0.0000020,"0001110"
"0xB0",10,0.0000025,"0001111"
"Z",13,0.0000033,"0010000"
"0xEF",13,0.0000033,"0010001"
"X",18,0.0000046,"0010010"
"0xBD",18,0.0000046,"0010011"
"(",22,0.0000056,"0010100"
")",22,0.0000056,"0010101"
"&",24,0.0000061,"0010110"
"0x87",28,0.0000071,"0010111"
"0x9F",28,0.0000071,"0011000"
"[",32,0.0000081,"0011001"
"]",32,0.0000081,"0011010"
"0x9E",45,0.0000114,"0011011"
"0xBF",55,0.0000139,"0011100"
"6",60,0.0000152,"0011101"
"5",64,0.0000162,"0011110"
"9",69,0.0000175,"0011111"
"7",74,0.0000188,"0100000"
"0xE7",93,0.0000236,"0100001"
"4",101,0.0000256,"0100010"
"Q",104,0.0000264,"0100011"
"2",117,0.0000297,"0100100"
"3",118,0.0000299,"0100101"
"8",136,0.0000345,"0100110"
"0",155,0.0000393,"0100111"
"U",243,0.0000616,"0101000"
"K",247,0.0000626,"0101001"
"1",262,0.0000664,"0101010"
":",304,0.0000771,"0101011"
"V",463,0.0001174,"0101100"
"J",842,0.0002134,"0101101"
"R",879,0.0002228,"0101110"
";",1180,0.0002991,"0101111"
"F",1217,0.0003085,"0110000"
"z",1251,0.0003171,"0110001"
"G",1332,0.0003376,"0110010"
"P",1433,0.0003632,"0110011"
"E",1488,0.0003772,"0110100"
"O",1680,0.0004258,"0110101"
"D",1688,0.0004279,"0110110"
"L",1854,0.0004699,"0110111"
"j",1954,0.0004953,"0111000"
"N",2033,0.0005153,"0111001"
"C",2187,0.0005544,"0111010"
"!",2206,0.0005592,"0111011"
"q",2285,0.0005792,"0111100"
"Y",2724,0.0006905,"0111101"
"B",3619,0.0009173,"0111110"
"x",4137,0.0010486,"0111111"
"A",4456,0.0011295,"1000000"
"S",4714,0.0011949,"1000001"
"?",4861,0.0012322,"1000010"
"M",5332,0.0013515,"1000011"
"W",5993,0.0015191,"1000100"
"T",8151,0.0020661,"1000101"
"-",8378,0.0021236,"1000110"
"'",8514,0.0021581,"1000111"
"H",8702,0.0022058,"1001000"
"k",21808,0.0055279,"1001001"
"I",22046,0.0055882,"1001010"
"v",27565,0.0069871,"1001011"
"\"",30368,0.0076976,"1001100"
"b",36332,0.0092094,"1001101"
".",41101,0.0104182,"1001110"
"p",41520,0.0105244,"1001111"
",",44179,0.0111984,"1010000"
"g",48584,0.0123150,"1010001"
"y",55092,0.0139647,"1010010"
"f",56163,0.0142361,"1010011"
"c",65713,0.0166568,"1010100"
"w",66644,0.0168928,"1010101"
"m",70524,0.0178763,"1010110"
"\n",76763,0.0194578,"1010111"
"\r",76763,0.0194578,"1011000"
"u",82807,0.0209898,"1011001"
"l",106902,0.0270974,"1011010"
"d",116602,0.0295561,"1011011"
"r",156103,0.0395688,"1011100"
"i",167445,0.0424437,"1011101"
"s",167930,0.0425667,"1011110"
"h",174782,0.0443035,"1011111"
"n",179698,0.0455496,"1100000"
"o",212633,0.0538979,"1100001"
"a",219452,0.0556264,"1100010"
"t",239909,0.0608118,"1100011"
"e",336990,0.0854198,"1100100"
" ",904584,0.2292928,"1100101"
